"region","country","index","market","year","open","high","low","close","volume","adjust","yearly_return_rate","ave_daily_return_rate","inflation_rate","average_annual_growth_rate","real_annual_average_growth_rate","real_yearly_return_rate"
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2005,30923,36056,30569,35704,140640108900,35704,15.4609837337904,0.0575947517045401,1.9852929852798,0.330662723057818,-1.62242046258652,13.2133667061736
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2006,35756,41531,34655,41434,148394015000,41434,15.8798523324757,0.0620134850764901,2.09084391012754,0.330662723057818,-1.7241322724487,13.5066063656863
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2007,41842,44364,37184,38554,198286864100,38554,-7.85813297643516,-0.0239469537722938,1.82974112202403,0.330662723057818,-1.47214201121246,-9.51379625609583
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2008,38447,38544,17803,19460,203456530200,19460,-49.3848674799074,-0.241508632617715,3.34783258401022,0.330662723057818,-2.91943215983729,-51.0244857056406
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2009,19704,24558,12332,23248,176659645700,23248,17.9861956963053,0.08906015709931,0.774768131387381,0.330662723057818,-0.440691074327793,17.0791041091537
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2010,23360,24059,18044,20173,213354809900,20173,-13.6429794520548,-0.0424165530486285,1.52551602118248,0.330662723057818,-1.17689950758325,-14.9405746138463
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2011,19984,23274,13115,15090,251088551800,15090,-24.4895916733387,-0.0914711398924259,2.78063272879323,0.330662723057818,-2.38368838631314,-26.5324542942732
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2012,15096,17159,12296,16273,208684318300,16273,7.79676735559088,0.0454801474801458,3.04136333226775,0.330662723057818,-2.63069171597525,4.61504377420634
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2013,16583,19501,14901,18968,219384947700,18968,14.3821986371585,0.0696660010113475,1.21999342274306,0.330662723057818,-0.87861169479726,13.0035626059012
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2014,19080,22590,17555,19012,201191704000,19012,-0.356394129979036,0.011150872646156,0.241047429826756,0.330662723057818,0.0893997973173466,-0.596004905299918
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2016,21186,21194,15017,19235,187237488700,19235,-9.20891154536014,-0.0110006003643246,-0.09401665691575,0.330662723057818,0.425079025062192,-9.12347247225743
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2017,19208,23133,18424,21853,110351168600,21853,13.7703040399833,0.0541133258083481,1.22653316645812,0.330662723057818,-0.885015435554937,12.3917815627431
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2018,21899,24544,17914,18324,108960693100,18324,-16.3249463445819,-0.0632154499527979,1.13748763600391,0.330662723057818,-0.797750598521774,-17.2660349676013
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2020,23607,25483,14153,22233,128480692800,22233,-5.82030753590037,0.00315694746963032,-0.13770757391651,0.330662723057818,0.469016167760228,-5.69043612351482
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2021,22398,27969,21312,27347,107788618400,27347,22.0957228323958,0.0857074973451985,1.87378325762481,0.330662723057818,-1.51473763437709,19.8499937158831
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2022,27409,28213,20183,23707,117502364800,23707,-13.5065124594111,-0.043623562045331,8.20128991161718,0.330662723057818,-7.2740604062931,-20.0624247536791
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2023,23869,30653,23862,30352,118185657400,30352,27.1607524404039,0.102181269105929,5.62219442195901,0.330662723057818,-5.00986722332393,20.3920758665538
"Europe","Italy","FTSE MIB","Italian Stocks Exchange",2024,30520,35474,29926,34186,125729236500,34186,12.0117955439056,0.0509293970066667,0.982373023061417,0.330662723057818,-0.645370355730068,10.922126496597
