"year","country_return","benchmark_return","difference","outperformed","country","benchmark"
2006,17.1144029721683,19.5068736590554,-2.39247068688707,FALSE,"France","Euro7"
2007,0.687266204262382,4.64609830878738,-3.958832104525,FALSE,"France","Euro7"
2008,-42.6384767520286,-42.481485028706,-0.156991723322598,FALSE,"France","Euro7"
2009,21.46355251485,24.6303920268618,-3.16683951201184,FALSE,"France","Euro7"
2010,-2.56691704576875,-0.58255127698152,-1.98436576878723,FALSE,"France","Euro7"
2011,-17.8764549909352,-16.7889723648188,-1.08748262611643,FALSE,"France","Euro7"
2013,16.0233534077164,17.2133756874815,-1.19002227976517,FALSE,"France","Euro7"
2015,8.92142265357655,0.161271415099616,8.76015123847693,TRUE,"France","Euro7"
2016,6.1164820517564,5.09559460168842,1.02088745006797,TRUE,"France","Euro7"
2017,9.62864120664302,11.0524139891096,-1.4237727824666,FALSE,"France","Euro7"
2018,-11.0561950209221,-13.1488122766076,2.09261725568549,TRUE,"France","Euro7"
2020,-7.73192408353275,-4.67934059889283,-3.05258348463992,FALSE,"France","Euro7"
2021,27.4132306749766,18.4657101903932,8.94752048458337,TRUE,"France","Euro7"
2022,-10.0541882698932,-9.20299117199461,-0.851197097898588,FALSE,"France","Euro7"
2023,15.6739672954652,16.8234972429117,-1.1495299474465,FALSE,"France","Euro7"
2024,-2.59444740724091,9.77374064437416,-12.3681880516151,FALSE,"France","Euro7"
2006,21.9339555378743,19.5068736590554,2.42708187881892,TRUE,"Germany","Euro7"
2007,21.9599265282037,4.64609830878738,17.3138282194163,TRUE,"Germany","Euro7"
2008,-40.2160327857252,-42.481485028706,2.26545224298074,TRUE,"Germany","Euro7"
2009,22.6603674397137,24.6303920268618,-1.9700245871481,FALSE,"Germany","Euro7"
2010,15.7085896927283,-0.58255127698152,16.2911409697098,TRUE,"Germany","Euro7"
2011,-15.4163185765532,-16.7889723648188,1.3726537882656,TRUE,"Germany","Euro7"
2012,29.019621603518,14.2192610674072,14.8003605361108,TRUE,"Germany","Euro7"
2013,24.2240704129422,17.2133756874815,7.01069472546071,TRUE,"Germany","Euro7"
2014,2.15976667296122,1.58182537256891,0.577941300392305,TRUE,"Germany","Euro7"
2016,9.49139876445743,5.09559460168842,4.39580416276901,TRUE,"Germany","Euro7"
2019,26.4487611233456,21.5098397558058,4.93892136753981,TRUE,"Germany","Euro7"
2020,3.66541441464111,-4.67934059889283,8.34475501353395,TRUE,"Germany","Euro7"
2021,14.3600365168134,18.4657101903932,-4.10567367357979,FALSE,"Germany","Euro7"
2022,-12.6907549513083,-9.20299117199461,-3.48776377931364,FALSE,"Germany","Euro7"
2023,19.7169145345285,16.8234972429117,2.89341729161673,TRUE,"Germany","Euro7"
2024,18.304334100869,9.77374064437416,8.53059345649489,TRUE,"Germany","Euro7"
2006,10.7140318382189,19.5068736590554,-8.7928418208365,FALSE,"United Kingdom","Euro7"
2007,3.79533347911861,4.64609830878738,-0.850764829668769,FALSE,"United Kingdom","Euro7"
2008,-31.3261741334575,-42.481485028706,11.1553108952485,TRUE,"United Kingdom","Euro7"
2009,22.0716175166348,24.6303920268618,-2.55877451022696,FALSE,"United Kingdom","Euro7"
2010,8.99702578629123,-0.58255127698152,9.57957706327275,TRUE,"United Kingdom","Euro7"
2012,5.84139424311277,14.2192610674072,-8.37786682429444,FALSE,"United Kingdom","Euro7"
2013,14.434201247254,17.2133756874815,-2.77917444022747,FALSE,"United Kingdom","Euro7"
2014,-2.71147260156284,1.58182537256891,-4.29329797413175,FALSE,"United Kingdom","Euro7"
2015,-4.93139440692245,0.161271415099616,-5.09266582202207,FALSE,"United Kingdom","Euro7"
2016,14.4257730031453,5.09559460168842,9.33017840145686,TRUE,"United Kingdom","Euro7"
2017,7.63006124912448,11.0524139891096,-3.42235273998514,FALSE,"United Kingdom","Euro7"
2018,-12.4834117876755,-13.1488122766076,0.665400488932152,TRUE,"United Kingdom","Euro7"
2019,12.1029680425112,21.5098397558058,-9.40687171329459,FALSE,"United Kingdom","Euro7"
2021,14.302298583701,18.4657101903932,-4.16341160669229,FALSE,"United Kingdom","Euro7"
2022,0.910016863870269,-9.20299117199461,10.1130080358649,TRUE,"United Kingdom","Euro7"
2023,3.77766137420663,16.8234972429117,-13.0458358687051,FALSE,"United Kingdom","Euro7"
2024,5.68716435084774,9.77374064437416,-4.08657629352642,FALSE,"United Kingdom","Euro7"
2005,15.4609837337904,15.4609837337904,0,FALSE,"Italy","Euro7"
2006,15.8798523324757,19.5068736590554,-3.62702132657973,FALSE,"Italy","Euro7"
2007,-7.85813297643516,4.64609830878738,-12.5042312852225,FALSE,"Italy","Euro7"
2008,-49.3848674799074,-42.481485028706,-6.90338245120143,FALSE,"Italy","Euro7"
2009,17.9861956963053,24.6303920268618,-6.64419633055648,FALSE,"Italy","Euro7"
2010,-13.6429794520548,-0.58255127698152,-13.0604281750733,FALSE,"Italy","Euro7"
2011,-24.4895916733387,-16.7889723648188,-7.70061930851989,FALSE,"Italy","Euro7"
2012,7.79676735559088,14.2192610674072,-6.42249371181633,FALSE,"Italy","Euro7"
2013,14.3821986371585,17.2133756874815,-2.83117705032299,FALSE,"Italy","Euro7"
2014,-0.356394129979036,1.58182537256891,-1.93821950254795,FALSE,"Italy","Euro7"
2016,-9.20891154536014,5.09559460168842,-14.3045061470486,FALSE,"Italy","Euro7"
2017,13.7703040399833,11.0524139891096,2.71789005087373,TRUE,"Italy","Euro7"
2018,-16.3249463445819,-13.1488122766076,-3.17613406797434,FALSE,"Italy","Euro7"
2020,-5.82030753590037,-4.67934059889283,-1.14096693700754,FALSE,"Italy","Euro7"
2021,22.0957228323958,18.4657101903932,3.63001264200251,TRUE,"Italy","Euro7"
2022,-13.5065124594111,-9.20299117199461,-4.30352128741653,FALSE,"Italy","Euro7"
2023,27.1607524404039,16.8234972429117,10.3372551974921,TRUE,"Italy","Euro7"
2024,12.0117955439056,9.77374064437416,2.23805489953148,TRUE,"Italy","Euro7"
2006,31.8921256145398,19.5068736590554,12.3852519554844,TRUE,"Spain","Euro7"
2008,-39.1083916513508,-42.481485028706,3.37309337735518,TRUE,"Spain","Euro7"
2009,28.9137149778666,24.6303920268618,4.28332295100475,TRUE,"Spain","Euro7"
2010,-17.7483849017645,-0.58255127698152,-17.165833624783,FALSE,"Spain","Euro7"
2011,-13.4665668868439,-16.7889723648188,3.3224054779749,TRUE,"Spain","Euro7"
2013,18.9351031446438,17.2133756874815,1.72172745716225,TRUE,"Spain","Euro7"
2014,3.58629592533424,1.58182537256891,2.00447055276533,TRUE,"Spain","Euro7"
2015,-8.11142855557941,0.161271415099616,-8.27269997067902,FALSE,"Spain","Euro7"
2016,-0.823985629831459,5.09559460168842,-5.91958023151988,FALSE,"Spain","Euro7"
2018,-15.3593728071237,-13.1488122766076,-2.21056053051607,FALSE,"Spain","Euro7"
2020,-16.240099983405,-4.67934059889283,-11.5607593845122,FALSE,"Spain","Euro7"
2021,6.37222603635042,18.4657101903932,-12.0934841540428,FALSE,"Spain","Euro7"
2022,-5.73445335735931,-9.20299117199461,3.4685378146353,TRUE,"Spain","Euro7"
2023,21.7428401621739,16.8234972429117,4.91934291926218,TRUE,"Spain","Euro7"
2024,14.1116655258652,9.77374064437416,4.33792488149109,TRUE,"Spain","Euro7"
2008,-52.2149673697663,-42.481485028706,-9.73348234106037,FALSE,"The Netherlands","Euro7"
