"region","country","index","market","year","open","high","low","close","volume","adjust","yearly_return_rate","ave_daily_return_rate","inflation_rate","average_annual_growth_rate","real_annual_average_growth_rate","real_yearly_return_rate"
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",1998,3658.34008789062,4322,2741.21997070312,3055.40991210938,0,3055.40991210938,-16.4809766532366,0.042565256557667,13.2308389767977,15.3171362204366,0.146603952658056,-2.08784708185351
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",1999,3113.6201171875,5150.990234375,3103.6201171875,5005.81982421875,0,5005.81982421875,60.7716945489308,0.0529231831252178,4.66982038037594,15.3171362204366,1.87789297116228,9.89482389296344
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2000,5209.5400390625,6150.68994140625,3491.55004882812,3972.1201171875,0,3972.1201171875,-23.7529592362569,0.136532908819364,4.0094359104519,15.3171362204366,2.25728016329979,-5.54202022802292
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2001,3953.21997070312,4462.10986328125,2594.8701171875,3262.330078125,0,3262.330078125,-17.4766367087648,0.0403424246070614,3.77929312235637,15.3171362204366,2.41413171418781,-4.44750495249834
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2002,3243.84008789062,3758.27001953125,2828.47998046875,3377.28002929688,0,3377.28002929688,4.11364117190568,0.00159974699735113,4.29715203929563,15.3171362204366,2.08036018211142,-0.0346433075789828
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2003,3399.71997070312,5920.759765625,2904.43994140625,5838.9599609375,3497200,5838.9599609375,71.7482619525836,0.00749502563809636,3.80585899528851,15.3171362204366,2.39525904451906,14.1374108195649
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2004,5944.22998046875,6617.14990234375,4227.5,6602.68994140625,6865800,6602.68994140625,11.0772961864032,-0.0072130484648244,3.76725173477515,15.3171362204366,2.42275531652959,1.53338754870112
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2005,6626.490234375,9442.98046875,6069.330078125,9397.9296875,4296600,9397.9296875,41.8236404959615,0.141758288364755,4.24634362031922,15.3171362204366,2.11019205018137,7.16256875171205
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2006,9422.490234375,14035.2998046875,8799.009765625,13786.91015625,4740400,13786.91015625,46.3191769194176,-0.119457533519342,5.79652337561634,15.3171362204366,1.40080631208847,5.96226207198566
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2007,13827.76953125,20498.109375,12316.099609375,20286.990234375,4330000,20286.990234375,46.7119493749698,0.0902897690443295,6.37288135593231,15.3171362204366,1.21312882070286,5.47127589223719
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2008,20393.099609375,21206.76953125,7697.39013671875,9647.3095703125,7095800,9647.3095703125,-52.6932650989578,0.0462179567400366,8.34926704907581,15.3171362204366,0.745285072592889,-6.52912488514998
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2009,9973.0595703125,17530.939453125,8047.169921875,17464.810546875,8792800,17464.810546875,75.1198859662256,0.16220309914842,10.8823529411764,15.3171362204366,0.373224335383284,5.40612901695962
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2010,17473.44921875,21075.7109375,15651.990234375,20509.08984375,4111400,20509.08984375,17.3728757670957,0.0249161791455909,11.9893899204244,15.3171362204366,0.256189576292545,0.414452555481948
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2011,20621.609375,20664.80078125,15135.8603515625,15454.919921875,3815200,15454.919921875,-25.0547343767877,0.171678037464212,8.91179336483371,15.3171362204366,0.646234502661096,-3.42688013070693
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2012,15640.5595703125,19612.1796875,15640.5595703125,19426.7109375,2952000,19426.7109375,24.2072628550581,-0.070584907094414,9.47899691419801,15.3171362204366,0.557127686365521,1.40550341425378
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2013,19693.30078125,21483.740234375,17448.7109375,21170.6796875,2570300,21170.6796875,7.50193643341198,0.057145054886356,10.0178784746102,15.3171362204366,0.480968977651921,-0.22835086146539
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2014,21222.189453125,28822.369140625,19963.119140625,27499.419921875,2562700,27499.419921875,29.5786185615531,0.00284705880208137,6.66565671867899,15.3171362204366,1.12860252151344,2.98904095027395
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2015,27521.279296875,30024.740234375,24833.5390625,26117.5390625,2878100,26117.5390625,-5.10056316507929,0.0414621636189812,4.90697344127256,15.3171362204366,1.7623513771752,-1.69419021531878
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2016,26116.51953125,29077.279296875,22494.609375,26626.4609375,3133400,26626.4609375,1.95256265154254,0.236712415153851,4.94821634062141,15.3171362204366,1.74319817673813,-0.503622181429587
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2017,26711.150390625,34137.96875,26447.060546875,34056.828125,4698200,34056.828125,27.5004169680133,0.0206954881005274,3.32817337461298,15.3171362204366,2.76998211673894,5.58486028660111
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2018,34059.98828125,38989.6484375,32483.83984375,36068.328125,125276900,36068.328125,5.89647837564169,0.0584190651224394,3.9388264669163,15.3171362204366,2.30384886566477,0.396379974441116
"Asia","India","S&P BSE SENSEX","Bombay Stock Exchange (BSE) ",2019,36198.12890625,41809.9609375,35287.16015625,41253.73828125,198591500,41253.73828125,13.9664936496955,0.0910092944678142,3.72950573539129,15.3171362204366,2.45007219218154,2.16449423830908
