"open","high","low","close","volume","adjust","date","region","country","index","market","country_code","daily_return"
824.400024414062,824.400024414062,824.400024414062,824.400024414062,0,824.400024414062,1987-12-28,"Asia","Singapore","STI","Singapore Exchange","sg",NA
810.900024414062,810.900024414062,810.900024414062,810.900024414062,0,810.900024414062,1987-12-29,"Asia","Singapore","STI","Singapore Exchange","sg",-1.63755453665774
823.200012207031,823.200012207031,823.200012207031,823.200012207031,0,823.200012207031,1987-12-30,"Asia","Singapore","STI","Singapore Exchange","sg",1.51683159731761
NA,NA,NA,NA,NA,NA,1987-12-31,"Asia","Singapore","STI","Singapore Exchange","sg",NA
NA,NA,NA,NA,NA,NA,1988-01-01,"Asia","Singapore","STI","Singapore Exchange","sg",NA
833.599975585938,833.599975585938,833.599975585938,833.599975585938,0,833.599975585938,1988-01-04,"Asia","Singapore","STI","Singapore Exchange","sg",NA
879.299987792969,879.299987792969,879.299987792969,879.299987792969,0,879.299987792969,1988-01-05,"Asia","Singapore","STI","Singapore Exchange","sg",5.48224730631844
906,906,906,906,0,906,1988-01-06,"Asia","Singapore","STI","Singapore Exchange","sg",3.03650774226074
911.5,911.5,911.5,911.5,0,911.5,1988-01-07,"Asia","Singapore","STI","Singapore Exchange","sg",0.607064017660044
895.299987792969,895.299987792969,895.299987792969,895.299987792969,0,895.299987792969,1988-01-08,"Asia","Singapore","STI","Singapore Exchange","sg",-1.77729152024479
849.099975585938,849.099975585938,849.099975585938,849.099975585938,0,849.099975585938,1988-01-11,"Asia","Singapore","STI","Singapore Exchange","sg",-5.16028290371368
870.5,870.5,870.5,870.5,0,870.5,1988-01-12,"Asia","Singapore","STI","Singapore Exchange","sg",2.52031857606579
853.900024414062,853.900024414062,853.900024414062,853.900024414062,0,853.900024414062,1988-01-13,"Asia","Singapore","STI","Singapore Exchange","sg",-1.90694722411689
861.599975585938,861.599975585938,861.599975585938,861.599975585938,0,861.599975585938,1988-01-14,"Asia","Singapore","STI","Singapore Exchange","sg",0.901739190973631
869.799987792969,869.799987792969,869.799987792969,869.799987792969,0,869.799987792969,1988-01-15,"Asia","Singapore","STI","Singapore Exchange","sg",0.951719178201551
917.599975585938,917.599975585938,917.599975585938,917.599975585938,0,917.599975585938,1988-01-18,"Asia","Singapore","STI","Singapore Exchange","sg",5.49551488431915
912.200012207031,912.200012207031,912.200012207031,912.200012207031,0,912.200012207031,1988-01-19,"Asia","Singapore","STI","Singapore Exchange","sg",-0.588487742216654
924.099975585938,924.099975585938,924.099975585938,924.099975585938,0,924.099975585938,1988-01-20,"Asia","Singapore","STI","Singapore Exchange","sg",1.30453444635621
909.599975585938,909.599975585938,909.599975585938,909.599975585938,0,909.599975585938,1988-01-21,"Asia","Singapore","STI","Singapore Exchange","sg",-1.56909429532298
904.200012207031,904.200012207031,904.200012207031,904.200012207031,0,904.200012207031,1988-01-22,"Asia","Singapore","STI","Singapore Exchange","sg",-0.593663536042616
908.900024414062,908.900024414062,908.900024414062,908.900024414062,0,908.900024414062,1988-01-25,"Asia","Singapore","STI","Singapore Exchange","sg",0.519797848217138
907.400024414062,907.400024414062,907.400024414062,907.400024414062,0,907.400024414062,1988-01-26,"Asia","Singapore","STI","Singapore Exchange","sg",-0.165034652845015
897.400024414062,897.400024414062,897.400024414062,897.400024414062,0,897.400024414062,1988-01-27,"Asia","Singapore","STI","Singapore Exchange","sg",-1.10204978300032
903.700012207031,903.700012207031,903.700012207031,903.700012207031,0,903.700012207031,1988-01-28,"Asia","Singapore","STI","Singapore Exchange","sg",0.702026701757913
908.900024414062,908.900024414062,908.900024414062,908.900024414062,0,908.900024414062,1988-01-29,"Asia","Singapore","STI","Singapore Exchange","sg",0.575413537323264
892,892,892,892,0,892,1988-02-01,"Asia","Singapore","STI","Singapore Exchange","sg",-1.85939310816472
888.200012207031,888.200012207031,888.200012207031,888.200012207031,0,888.200012207031,1988-02-02,"Asia","Singapore","STI","Singapore Exchange","sg",-0.426007600108604
895.5,895.5,895.5,895.5,0,895.5,1988-02-03,"Asia","Singapore","STI","Singapore Exchange","sg",0.82188557674408
882.099975585938,882.099975585938,882.099975585938,882.099975585938,0,882.099975585938,1988-02-04,"Asia","Singapore","STI","Singapore Exchange","sg",-1.49637346890704
869.900024414062,869.900024414062,869.900024414062,869.900024414062,0,869.900024414062,1988-02-05,"Asia","Singapore","STI","Singapore Exchange","sg",-1.38305764760634
859.200012207031,859.200012207031,859.200012207031,859.200012207031,0,859.200012207031,1988-02-08,"Asia","Singapore","STI","Singapore Exchange","sg",-1.23002780856782
851.799987792969,851.799987792969,851.799987792969,851.799987792969,0,851.799987792969,1988-02-09,"Asia","Singapore","STI","Singapore Exchange","sg",-0.861269123478481
857.700012207031,857.700012207031,857.700012207031,857.700012207031,0,857.700012207031,1988-02-10,"Asia","Singapore","STI","Singapore Exchange","sg",0.692653733108119
866.700012207031,866.700012207031,866.700012207031,866.700012207031,0,866.700012207031,1988-02-11,"Asia","Singapore","STI","Singapore Exchange","sg",1.04931792840264
873.200012207031,873.200012207031,873.200012207031,873.200012207031,0,873.200012207031,1988-02-12,"Asia","Singapore","STI","Singapore Exchange","sg",0.749971144392614
882.099975585938,882.099975585938,882.099975585938,882.099975585938,0,882.099975585938,1988-02-15,"Asia","Singapore","STI","Singapore Exchange","sg",1.01923537041776
886.599975585938,886.599975585938,886.599975585938,886.599975585938,0,886.599975585938,1988-02-16,"Asia","Singapore","STI","Singapore Exchange","sg",0.510146256042107
NA,NA,NA,NA,NA,NA,1988-02-17,"Asia","Singapore","STI","Singapore Exchange","sg",NA
NA,NA,NA,NA,NA,NA,1988-02-18,"Asia","Singapore","STI","Singapore Exchange","sg",NA
890,890,890,890,0,890,1988-02-19,"Asia","Singapore","STI","Singapore Exchange","sg",NA
901.700012207031,901.700012207031,901.700012207031,901.700012207031,0,901.700012207031,1988-02-22,"Asia","Singapore","STI","Singapore Exchange","sg",1.31460811314958
894.200012207031,894.200012207031,894.200012207031,894.200012207031,0,894.200012207031,1988-02-23,"Asia","Singapore","STI","Singapore Exchange","sg",-0.831762215644508
892.400024414062,892.400024414062,892.400024414062,892.400024414062,0,892.400024414062,1988-02-24,"Asia","Singapore","STI","Singapore Exchange","sg",-0.201295881055301
889.200012207031,889.200012207031,889.200012207031,889.200012207031,0,889.200012207031,1988-02-25,"Asia","Singapore","STI","Singapore Exchange","sg",-0.358584952878316
888.200012207031,888.200012207031,888.200012207031,888.200012207031,0,888.200012207031,1988-02-26,"Asia","Singapore","STI","Singapore Exchange","sg",-0.112460637232557
888.799987792969,888.799987792969,888.799987792969,888.799987792969,0,888.799987792969,1988-02-29,"Asia","Singapore","STI","Singapore Exchange","sg",0.0675496034329767
890.299987792969,890.299987792969,890.299987792969,890.299987792969,0,890.299987792969,1988-03-01,"Asia","Singapore","STI","Singapore Exchange","sg",0.168766879005561
